Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U10        SON80P300X60_HS-9L           4mm      13.125mm           4mm      13.125mm        5.31mm      14.325mm  B        180.00 IS25LQ032B-JTLA
R26        _0201                25.975mm       9.975mm      25.975mm       9.975mm      26.225mm       9.975mm  T        180.00 47R            
R27        _0201                  26.9mm      13.975mm        26.9mm      13.975mm       27.15mm      13.975mm  B        180.00 47R            
R28        _0201                 24.95mm       15.85mm       24.95mm       15.85mm       24.95mm        16.1mm  B        270.00 47R            
R29        _0201                 26.65mm       15.85mm       26.65mm       15.85mm       26.65mm        16.1mm  B        270.00 47R            
R30        _0201                23.225mm       21.95mm      23.225mm       21.95mm      22.975mm       21.95mm  B        360.00 4k7            
R31        _0201                 23.65mm       15.85mm       23.65mm       15.85mm       23.65mm        16.1mm  B        270.00 47R            
R32        _0201                25.125mm        17.4mm      25.125mm        17.4mm      24.875mm        17.4mm  B        360.00 47R            
R33        _0201                  7.55mm      10.825mm        7.55mm      10.825mm         7.8mm      10.825mm  T        180.00 20k            
R34        _0201                  24.3mm       15.85mm        24.3mm       15.85mm        24.3mm        16.1mm  B        270.00 47R            
R35        _0201                24.675mm       9.975mm      24.675mm       9.975mm      24.925mm       9.975mm  T        180.00 47R            
R36        _0201                26.475mm      17.075mm      26.475mm      17.075mm      26.475mm      17.325mm  B        270.00 47R            
R37        _0201                23.375mm       9.975mm      23.375mm       9.975mm      23.625mm       9.975mm  T        180.00 47R            
R38        _0201                    23mm       15.85mm          23mm       15.85mm          23mm        16.1mm  B        270.00 47R            
R39        _0201                25.125mm       16.75mm      25.125mm       16.75mm      24.875mm       16.75mm  B        360.00 47R            
R40        _0201                23.375mm      10.625mm      23.375mm      10.625mm      23.625mm      10.625mm  T        180.00 47R            
R41        _0201                25.975mm       8.675mm      25.975mm       8.675mm      26.225mm       8.675mm  T        180.00 47R            
R42        _0201                  26.9mm      13.325mm        26.9mm      13.325mm       27.15mm      13.325mm  B        180.00 47R            
R43        _0201                25.975mm       9.325mm      25.975mm       9.325mm      26.225mm       9.325mm  T        180.00 47R            
R44        _0201                15.575mm         5.3mm      15.575mm         5.3mm      15.325mm         5.3mm  B          0.00 47R            
R45        _0201                15.575mm           6mm      15.575mm           6mm      15.325mm           6mm  B          0.00 47R            
R46        _0201                 21.95mm         7.8mm       21.95mm         7.8mm        22.2mm         7.8mm  T        180.00 47R            
R47        _0201                20.775mm       8.125mm      20.775mm       8.125mm      21.025mm       8.125mm  T        180.00 47R            
R48        _0201                20.775mm        8.75mm      20.775mm        8.75mm      21.025mm        8.75mm  T        180.00 47R            
R49        _0201                 21.95mm        8.45mm       21.95mm        8.45mm        21.7mm        8.45mm  T        360.00 47R            
R50        _0201                25.975mm       8.025mm      25.975mm       8.025mm      26.225mm       8.025mm  T        180.00 100R           
R51        _0201                22.825mm       8.775mm      22.825mm       8.775mm      22.825mm       8.525mm  T         90.00 DNF            
R52        _0201                 4.725mm        15.8mm       4.725mm        15.8mm       4.475mm        15.8mm  B        360.00 4k7            
R53        _0201                15.875mm      13.325mm      15.875mm      13.325mm      15.875mm      13.075mm  B         90.00 1k             
R54        _0201                 21.95mm         9.1mm       21.95mm         9.1mm        21.7mm         9.1mm  T          0.00 47R            
U1         CSG324               18.975mm      18.775mm      18.975mm      18.775mm      12.175mm      11.975mm  T         90.00 XC7A100T-2CSG324C
U2         SON80P300X60_HS-9L      24.175mm      24.775mm      24.175mm      24.775mm      22.865mm      23.575mm  B        360.00 IS25LQ032B-JTLA
U3         Osc_25x20_(4)        25.525mm        20.2mm      25.525mm        20.2mm      26.275mm       21.15mm  B        270.00 DSC1033DI2-024.0000
U4         DFN65P120x120-4         1.5mm        26.4mm         1.5mm        26.4mm           1mm        25.9mm  T        360.00 MIC94093YMT    
U5         X2QFN50P150X150-8       11.03mm         6.2mm       11.03mm         6.2mm      11.705mm         6.7mm  B        180.00 ADS7041IRUG    
U6         QFN50P500X500-32V5N       5.717mm      23.915mm       5.725mm      23.925mm       3.217mm      25.665mm  T        360.00 USB3300-EZK    
U7         BGA96C80P9X16_900X1400X120        21.6mm       7.975mm        21.6mm       7.975mm        18.4mm       1.975mm  B        360.00 AS4C512M16D3L-12BCN
U8         QFN40P600X600X90-49N-S470       5.625mm      16.125mm       5.625mm      16.125mm       3.425mm      13.125mm  T         90.00 ESP32          
U9         BGA153C50P14X14_1150X1300X90      14.675mm      21.175mm      14.675mm      21.175mm      11.425mm      24.425mm  B        270.00 eMMC-153       
UM1        LGA77C127P7X11_900X1500X182       10.13mm       5.425mm       10.13mm       5.425mm       16.48mm       9.235mm  T        270.00 LTM4643EV#PBF  
R55        _0201                23.675mm       5.725mm      23.675mm       5.725mm      23.425mm       5.725mm  T          0.00 20k            

